SiteID,SiteLat,SiteLon,SiteY,SiteX,GridCol,GridRow,GridLat,GridLon,Grid_Centroid_Y,Grid_Centroid_X
40051008,35.2061,-111.6528,-423714.736,-1321233.182,91,100,35.302208,-111.59323,-426000,-1326000
40058001,36.0586,-112.1836,-322730.6876,-1352950.554,89,109,36.229244,-112.05191,-318000,-1350000
40070008,34.2297,-111.3295,-535305.2464,-1309329.962,92,91,34.35748,-111.27533,-534000,-1314000
40070010,33.6547,-111.1074,-601550.8243,-1299070.808,93,85,33.733376,-111.024994,-606000,-1302000
40128000,34.2319,-113.58,-500118.8864,-1512791.304,75,94,34.367085,-113.537415,-498000,-1518000
40130019,33.4838,-112.1426,-604936.3667,-1396692.01,85,85,33.59567,-112.050385,-606000,-1398000
40131003,33.4104,-111.8651,-617209.12,-1372655.463,87,84,33.52439,-111.77338,-618000,-1374000
40131004,33.5603,-112.0663,-597723.8216,-1388316.613,86,86,33.720013,-111.943665,-594000,-1386000
40131010,33.4522,-111.7333,-614607.5717,-1359842.557,88,84,33.541794,-111.64548,-618000,-1362000
40132001,33.5745,-112.192,-594240.1276,-1399529.385,85,86,33.702244,-112.07181,-594000,-1398000
40132005,33.7063,-111.8556,-584919.5332,-1366436.501,88,87,33.86177,-111.70813,-582000,-1362000
40133002,33.4579,-112.046,-609254.594,-1388338.104,86,85,33.61342,-111.922424,-606000,-1386000
40133003,33.4797,-111.9172,-608824.4081,-1376164.958,87,85,33.630993,-111.79439,-606000,-1374000
40133010,33.4609,-112.1175,-607830.9866,-1394819.599,85,85,33.59567,-112.050385,-606000,-1398000
40134003,33.4032,-112.0753,-614800.9504,-1392020.498,86,84,33.506824,-111.901245,-618000,-1386000
40134004,33.299,-111.8843,-629132.7394,-1376431.063,87,83,33.417774,-111.75244,-630000,-1374000
40134005,33.4124,-111.9347,-615936.1647,-1378988.2,87,84,33.52439,-111.77338,-618000,-1374000
40134006,33.3107,-111.7225,-630286.9179,-1361390.675,88,83,33.43517,-111.62471,-630000,-1362000
